date,text,place
Fri Jul 22 20:58:22 +0000 2016,What do you think of Pokemon Go?,NA
Fri Jul 22 20:58:22 +0000 2016,RT @noadvantagegame: New Pokemon Go Guide and location! Help us build a pokemon map and collect them all https://t.co/kBf9TL0cDR https://t.?,NA
Fri Jul 22 20:58:23 +0000 2016,RT @AshBenzo: 10 Pokemon Go hacks you need to dominate... https://t.co/sYdsEHZTdU https://t.co/gsXTqpKELL,NA
Fri Jul 22 20:58:23 +0000 2016,"""Pokemon Go"" FIND ALL POKEMON HACK UPDATED 2016: https://t.co/8JBMEnBSee via @YouTube",NA
Fri Jul 22 20:58:24 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:24 +0000 2016,"#3Novices : Shiv Sena wants Pokemon Go to be regulated July 23, 2016 at 02:15AM https://t.co/b33tmLJnhH #News #Hyderabad #OnlineMedia",NA
Fri Jul 22 20:58:24 +0000 2016,So apparently apparent aren't dead. ???????? https://t.co/V0jqc7Tujh,NA
Fri Jul 22 20:58:24 +0000 2016,RT @wsbtv: Cop praised after stopping to play 'Pokemon Go' with boy https://t.co/0kgEXzgnyJ https://t.co/s38mmi0mCd,NA
Fri Jul 22 20:58:25 +0000 2016,RT @lilythxl: don't go Pokemon hunting with a cat bcoz he chased 3 dogs and rolled around in dirt on my neighbors lawn https://t.co/mAtmf6w?,NA
Fri Jul 22 20:58:25 +0000 2016,RT @CatchEmAlI: Desiigner playing Pokemon Go https://t.co/RgxEZxEUHv,NA
Fri Jul 22 20:58:25 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:25 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:26 +0000 2016,RT @CatchEmAlI: Desiigner playing Pokemon Go https://t.co/RgxEZxEUHv,NA
Fri Jul 22 20:58:26 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:26 +0000 2016,RT @ajplus: Children in Syria are seen holding Pokemon in a new campaign that tells the world to go and find them. https://t.co/8oQS596jAk,NA
Fri Jul 22 20:58:26 +0000 2016,RT @amanda_m_macias: State Dept. spokesman calls out a reporter for playing Pokemon Go during a briefing: https://t.co/aamZTYbw98 https://t?,NA
Fri Jul 22 20:58:27 +0000 2016,RT @aDrive_tK: I'm thinking it would be really epic to do a Pokemon GO Meetup at Central Park and film it for YouTube. Thoughts?,NA
Fri Jul 22 20:58:27 +0000 2016,RT @CatchThemAlI: this boy is making badges that light up so kids can be safer playing pokemon go at night...cutest thing ever ???? https://t?,NA
Fri Jul 22 20:58:28 +0000 2016,I had to download Pokemon go just so for when I go get ice cream with Caily????,NA
Fri Jul 22 20:58:28 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:28 +0000 2016,You can only find the chicken pokemon in the southeast..... I think pokemon go is sneak dissin????????,NA
Fri Jul 22 20:58:28 +0000 2016,USNewsEducation: Pokemon Go is getting teens outside and parents love it. https://t.co/XJn3T1rUL6,NA
Fri Jul 22 20:58:28 +0000 2016,RT @omginaaa: What if the gov is using snap filters to compile a facial recognition database &amp; using Pokemon go to track people's lives &amp; s?,NA
Fri Jul 22 20:58:29 +0000 2016,RT @SavetheChildren: Syrian children use #PokemonGo in appeal to the world to save them ?? by @willafrej https://t.co/M2s8pXWppr via @TheWo?,NA
Fri Jul 22 20:58:29 +0000 2016,RT @CatchEmAlI: Desiigner playing Pokemon Go https://t.co/RgxEZxEUHv,NA
Fri Jul 22 20:58:29 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:30 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:31 +0000 2016,RT @LilMaarty: Pokemon Go (Hood Edition) ?????? https://t.co/Xnf2YGUGW6,NA
Fri Jul 22 20:58:31 +0000 2016,RT @PokemonIife: Desiigner playing Pokemon Go https://t.co/MFE9VuNmOz,NA
